@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
1985,153,113,186,31,6,26,83,505000,175,73,R,609,97,57,5,2,4,10,113,186,31,6,26,505000,175,73,609,97,57,5,2,4,10,153,83,4,26
1985,19,1,2,0,0,0,1,500000,195,77,R,31,17,1,0,6,0,0,1,2,0,0,0,500000,195,77,31,17,1,0,6,0,0,19,1,7,29
1985,65,0,0,0,0,0,0,670000,220,77,R,6,5,1,0,0,0,0,0,0,0,0,0,670000,220,77,6,5,1,0,0,0,0,65,0,5,28
1985,45,1,0,0,0,0,0,320000,200,74,R,6,4,1,0,4,0,1,1,0,0,0,0,320000,200,74,6,4,1,0,4,0,1,45,0,8,30
1985,106,16,53,11,0,4,24,225000,175,73,R,218,34,17,0,3,2,7,16,53,11,0,4,225000,175,73,218,34,17,0,3,2,7,106,24,14,35
1985,20,4,10,0,0,1,3,1260000,215,79,L,43,10,2,0,2,1,1,4,10,0,0,1,1260000,215,79,43,10,2,0,2,1,1,20,3,9,29
1985,24,2,5,1,0,0,2,640000,195,76,L,46,13,2,0,9,0,0,2,5,1,0,0,640000,195,76,46,13,2,0,9,0,0,24,2,7,28
1985,81,11,20,3,0,0,4,321667,185,74,R,82,18,14,0,1,0,2,11,20,3,0,0,321667,185,74,82,18,14,0,1,0,2,81,4,9,31
1985,67,28,54,15,2,6,36,751297,180,73,R,247,27,34,2,1,2,10,28,54,15,2,6,751297,180,73,247,27,34,2,1,2,10,67,36,13,34
1985,39,4,17,2,1,0,2,60000,190,73,L,88,29,4,0,9,0,2,4,17,2,1,0,60000,190,73,88,29,4,0,9,0,2,39,2,1,25
1985,155,59,141,19,2,7,48,920000,155,74,R,560,67,50,3,3,4,23,59,141,19,2,7,920000,155,74,560,67,50,3,3,4,23,155,48,15,37
1985,43,7,18,5,1,0,6,117500,175,73,L,92,16,6,1,0,0,0,12,30,6.5,0.5,1.5,117500,175,73,125,17,9.5,4,0,0,1,44.5,11.5,2,26
1985,46,17,42,8,0,3,17,117500,175,73,L,158,18,13,7,0,0,2,12,30,6.5,0.5,1.5,117500,175,73,125,17,9.5,4,0,0,1,44.5,11.5,2,26
1985,67,1,2,0,0,0,1,75000,170,70,L,6,0,0,0,2,0,0,1,2,0,0,0,75000,170,70,6,0,0,0,2,0,0,67,1,1,25
1985,56,0,0,0,0,0,0,833333,185,73,R,5,2,0,0,0,0,0,0,0,0,0,0,833333,185,73,5,2,0,0,0,0,0,56,0,8,32
1985,90,16,47,9,0,4,25,250000,180,73,L,173,20,28,4,2,2,3,16,47,9,0,4,250000,180,73,173,20,28,4,2,2,3,90,25,6,31
1985,15,0,1,1,0,0,1,110000,185,75,R,29,18,1,0,1,0,0,0,1,1,0,0,110000,185,75,29,18,1,0,1,0,0,15,1,4,29
1985,145,82,115,19,7,3,33,300000,173,71,L,453,31,61,3,2,3,3,82,115,19,7,3,300000,173,71,453,31,61,3,2,3,3,145,33,5,30
1985,152,59,155,26,3,1,34,550000,185,74,B,526,65,51,17,2,5,13,59,155,26,3,1,550000,185,74,526,65,51,17,2,5,13,152,34,7,29
1985,160,88,198,42,4,34,125,970000,230,77,L,635,80,52,24,0,4,26,88,198,42,4,34,970000,230,77,635,80,52,24,0,4,26,160,125,12,34
1985,17,1,2,1,0,0,0,350000,188,74,R,14,6,0,0,2,0,0,1,2,1,0,0,350000,188,74,14,6,0,0,2,0,0,17,0,6,28
1985,72,25,60,8,0,6,33,225000,175,74,R,183,22,22,1,0,2,2,25,60,8,0,6,225000,175,74,183,22,22,1,0,2,2,72,33,21,43
1985,64,0,0,0,0,0,0,255000,215,76,R,0,0,1,0,0,0,0,0,0,0,0,0,255000,215,76,0,0,1,0,0,0,0,64,0,4,30
1985,26,0,0,0,0,0,0,410000,220,76,R,14,7,1,0,1,0,0,0,0,0,0,0,410000,220,76,14,7,1,0,1,0,0,26,0,5,29
1985,101,51,62,14,4,6,28,227500,180,73,R,246,52,44,2,2,1,0,51,62,14,4,6,227500,180,73,246,52,44,2,2,1,0,101,28,3,29
1985,119,60,107,12,2,2,46,358858,192,71,B,405,35,86,5,1,4,10,60,107,12,2,2,358858,192,71,405,35,86,5,1,4,10,119,46,22,44
1985,37,3,11,0,1,0,4,1071429,174,72,R,83,24,1,0,6,0,1,3,11,0,1,0,1071429,174,72,83,24,1,0,6,0,1,37,4,8,29
1985,33,0,1,0,0,0,1,250000,200,74,R,17,10,3,0,7,0,0,0,1,0,0,0,250000,200,74,17,10,3,0,7,0,0,33,1,3,28
1985,36,3,6,0,0,0,3,60000,185,75,R,65,33,2,0,6,0,1,3,6,0,0,0,60000,185,75,65,33,2,0,6,0,1,36,3,1,23
1985,73,12,36,7,0,2,24,60000,205,74,R,151,19,9,2,2,3,6,12,36,7,0,2,60000,205,74,151,19,9,2,2,3,6,73,24,3,28
1985,77,21,39,12,3,0,10,155000,185,70,L,135,17,6,0,3,2,2,21,39,12,3,0,155000,185,70,135,17,6,0,3,2,2,77,10,6,28
1985,46,10,19,7,0,2,15,303333,185,73,R,76,17,4,1,0,1,2,10,19,7,0,2,303333,185,73,76,17,4,1,0,1,2,46,15,11,34
1985,73,11,24,4,1,0,13,225000,195,72,B,173,21,22,0,2,2,6,11,24,4,1,0,225000,195,72,173,21,22,0,2,2,6,73,13,4,29
1985,153,73,137,26,3,11,59,400000,150,69,B,500,72,69,2,5,4,11,73,137,26,3,11,400000,150,69,500,72,69,2,5,4,11,153,59,6,29
1985,152,106,184,28,14,5,50,425000,160,70,L,591,42,63,2,8,3,8,106,184,28,14,5,425000,160,70,591,42,63,2,8,3,8,152,50,4,28
1985,143,64,128,27,0,15,59,110000,215,75,R,489,74,25,2,3,4,9,64,128,27,0,15,110000,215,75,489,74,25,2,3,4,9,143,59,2,25
1985,73,12,12,4,1,0,2,190000,165,73,R,60,7,5,0,4,0,0,12,12,4,1,0,190000,165,73,60,7,5,0,4,0,0,73,2,8,30
1985,160,97,183,33,4,6,90,455000,160,72,R,636,74,54,2,0,9,26,97,183,33,4,6,455000,160,72,636,74,54,2,0,9,26,160,90,3,27
1985,23,7,21,6,0,0,12,210000,185,72,L,66,12,8,0,0,1,2,7,21,6,0,0,210000,185,72,66,12,8,0,0,1,2,23,12,4,25
1985,107,31,81,14,1,1,27,458333,195,72,L,284,29,39,2,2,1,8,31,81,14,1,1,458333,195,72,284,29,39,2,2,1,8,107,27,11,36
1985,161,72,166,26,3,20,87,140000,175,71,R,606,120,48,3,1,7,17,72,166,26,3,20,140000,175,71,606,120,48,3,1,7,17,161,87,4,26
1985,117,47,111,18,3,5,59,285000,175,75,R,404,55,27,2,2,3,15,47,111,18,3,5,285000,175,75,404,55,27,2,2,3,15,117,59,4,27
1985,124,49,109,13,0,22,88,1100000,200,75,R,461,75,47,1,0,6,14,49,109,13,0,22,1100000,200,75,461,75,47,1,0,6,14,124,88,12,36
1985,149,43,106,22,0,8,45,375000,198,72,L,434,75,30,6,1,4,9,43,106,22,0,8,375000,198,72,434,75,30,6,1,4,9,149,45,5,29
1985,49,0,0,0,0,0,0,125000,185,73,R,0,0,0,0,0,0,0,0,0,0,0,0,125000,185,73,0,0,0,0,0,0,0,49,0,1,27
1985,31,0,0,0,0,0,0,240000,186,71,R,0,0,0,0,0,0,0,0,0,0,0,0,240000,186,71,0,0,0,0,0,0,0,31,0,7,31
1985,69,8,25,2,0,3,7,262500,185,73,L,140,15,14,0,1,2,6,8,25,2,0,3,262500,185,73,140,15,14,0,1,2,6,69,7,10,32
1985,156,54,115,34,6,7,47,250000,165,70,R,485,78,27,0,9,1,8,54,115,34,6,7,250000,165,70,485,78,27,0,9,1,8,156,47,6,32
1985,57,4,10,2,0,2,5,76000,190,73,R,84,19,2,0,0,1,1,4,10,2,0,2,76000,190,73,84,19,2,0,0,1,1,57,5,4,28
1985,151,81,125,17,0,40,94,1083333,200,74,L,505,85,85,12,1,2,5,81,125,17,0,40,1083333,200,74,505,85,85,12,1,2,5,151,94,16,38
1985,154,96,167,37,5,29,97,685000,215,75,L,581,137,71,16,3,10,5,96,167,37,5,29,685000,215,75,581,137,71,16,3,10,5,154,97,6,28
1985,78,19,38,7,1,5,25,250000,175,75,L,155,25,24,0,0,4,5,19,38,7,1,5,250000,175,75,155,25,24,0,0,4,5,78,25,13,37
