@relation 'newest_weka_batters_no_null-weka.filters.unsupervised.attribute.Remove-R1,23-weka.filters.unsupervised.attribute.NumericToNominal-R19'

@attribute lgID {NL,AL}
@attribute yearID numeric
@attribute AB numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute SB numeric
@attribute CS numeric
@attribute BB numeric
@attribute SO numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute G numeric
@attribute GP {0,1}
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute num_years_in_league numeric
@attribute previous_appearances numeric

@data
NL,2007,166,19,45,14,1,2,17,0,0,7,21,1,0,2,5,59,0,70,200,23,0,0
NL,2009,8,0,2,0,0,0,1,0,1,3,2,0,0,0,0,6,0,70,200,25,2,0
NL,2010,193,16,45,11,1,1,13,2,1,4,47,0,0,4,8,81,0,70,200,26,3,0
AL,2012,70,5,18,2,1,1,15,0,0,2,13,0,0,1,1,22,0,70,200,28,5,0
NL,2013,138,21,37,12,3,2,14,0,2,6,33,1,1,1,5,53,0,70,200,29,6,0
NL,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,70,200,30,7,0
AL,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,74,170,29,0,0
NL,2007,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,74,170,30,1,0
AL,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74,170,32,3,0
NL,2005,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,72,195,24,0,0
NL,2006,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,72,195,25,1,0
AL,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,72,195,26,2,0
AL,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,72,195,27,3,0
AL,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,72,195,28,4,0
AL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,72,195,29,5,0
AL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,72,195,30,6,0
AL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,72,195,31,7,0
AL,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,74,205,26,0,0
AL,2009,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,74,205,27,1,0
AL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,74,205,28,2,0
AL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,74,205,29,3,0
AL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,74,205,30,4,0
AL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,74,205,31,5,0
AL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,74,205,32,6,0
NL,2001,34,1,4,1,0,0,1,0,0,0,18,0,2,0,0,18,0,72,185,24,0,0
NL,2002,7,1,1,1,0,0,2,0,0,1,6,0,2,0,0,6,0,72,185,25,1,0
NL,2003,9,0,0,0,0,0,0,0,0,0,5,0,2,0,1,5,0,72,185,26,2,0
NL,2004,43,0,2,0,0,0,1,0,0,3,26,0,5,1,1,39,0,72,185,27,3,0
NL,2005,8,0,1,0,0,0,0,0,0,1,6,0,1,0,0,36,0,72,185,28,4,0
NL,1995,18,0,1,0,0,0,0,0,0,1,6,0,0,0,2,17,0,74,245,25,0,0
NL,1997,6,0,0,0,0,0,0,0,0,0,5,0,1,0,0,25,0,74,245,27,2,0
NL,1998,17,2,3,1,0,0,0,0,0,1,5,0,2,0,0,50,0,74,245,28,3,0
NL,1999,20,0,1,0,0,0,0,0,0,0,16,0,2,0,0,50,0,74,245,29,4,0
NL,2000,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,62,0,74,245,30,5,0
NL,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,74,245,31,6,0
AL,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,74,245,32,7,0
AL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,74,245,33,8,0
AL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,77,205,26,0,0
NL,1986,28,1,3,1,0,0,0,0,0,0,21,0,0,0,0,21,0,74,210,28,3,0
NL,1987,14,1,3,0,0,0,1,0,0,1,8,0,0,0,0,68,0,74,210,29,4,0
NL,1988,5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,21,0,74,210,30,5,0
NL,1989,7,0,1,0,0,0,0,0,0,0,2,0,0,0,1,59,0,74,210,31,6,0
AL,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,74,210,34,9,0
NL,1956,19,3,1,0,0,0,1,0,0,3,12,0,0,0,1,29,0,76,215,26,0,0
NL,1957,19,1,1,0,0,0,0,0,0,3,15,0,2,0,0,49,0,76,215,27,1,0
NL,1958,30,5,2,0,0,0,1,0,0,5,16,0,2,0,0,38,0,76,215,28,2,0
NL,1959,9,1,1,0,0,0,0,0,0,1,3,0,2,0,0,37,0,76,215,29,3,0
AL,2011,333,39,91,16,7,6,36,6,0,40,79,1,0,3,3,90,0,73,195,23,0,0
AL,2012,607,84,137,22,2,12,50,13,3,59,124,7,1,1,3,153,0,73,195,24,1,0
AL,2013,384,40,97,18,2,4,31,2,3,37,72,1,4,1,6,113,0,73,195,25,2,0
AL,2014,502,64,123,27,4,14,65,8,4,32,90,1,3,2,10,143,0,73,195,26,3,0
AL,1963,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,73,202,26,0,0
AL,1964,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,73,202,27,1,0
AL,1972,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,0,70,165,26,0,0
AL,1973,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,0,70,165,27,1,0
AL,1974,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,70,165,28,2,0
NL,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,70,165,29,3,0
NL,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,77,215,26,0,0
NL,1971,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,77,215,27,1,0
NL,1972,12,1,1,0,0,0,0,0,0,1,9,0,0,0,0,46,0,77,215,28,2,0
NL,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,76,215,26,0,0
NL,2008,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,46,0,76,215,27,1,0
NL,2009,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,36,0,76,215,28,2,0
NL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,76,215,29,3,0
NL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,76,215,30,4,0
NL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,76,215,31,5,0
AL,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,80,235,26,0,0
AL,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,80,235,27,1,0
AL,1958,19,1,2,0,0,0,0,0,0,1,7,0,0,0,0,11,0,72,175,22,0,0
AL,1959,35,3,11,0,1,0,2,0,0,1,5,0,0,0,0,12,0,72,175,23,1,0
AL,1960,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,72,175,24,2,0
AL,1961,386,41,102,21,1,9,37,5,2,35,51,4,1,4,6,133,0,72,175,25,3,0
AL,1962,538,67,153,29,4,11,48,7,7,27,77,1,4,3,15,139,0,72,175,26,4,0
AL,1963,382,34,87,21,3,6,30,3,3,9,51,2,3,5,17,109,0,72,175,27,5,0
AL,1964,569,56,141,20,3,9,47,3,2,28,72,10,4,3,20,155,0,72,175,28,6,0
AL,1965,582,51,151,26,3,7,66,6,4,35,65,7,4,2,26,157,0,72,175,29,7,0
AL,1966,52,3,15,1,0,0,3,0,0,4,8,0,1,1,1,17,0,72,175,30,8,0
AL,1967,98,6,20,4,0,0,9,0,1,4,17,0,2,1,5,28,0,72,175,31,9,0
AL,1968,208,18,45,1,0,2,12,0,0,9,28,2,6,0,10,74,0,72,175,32,10,0
AL,1969,432,29,108,9,1,5,48,1,3,20,36,4,2,4,24,126,0,72,175,33,11,0
AL,1970,27,0,4,0,0,0,1,0,1,5,3,1,1,0,1,7,0,72,175,34,12,0
NL,2014,15,1,1,0,0,0,0,0,0,0,5,0,0,0,1,7,0,72,180,23,0,0
NL,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,182,36,5,0
AL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,71,190,28,0,0
NL,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,72,165,25,1,0
NL,1955,150,23,41,11,2,2,20,2,0,20,21,1,2,1,3,64,0,70,160,34,9,0
AL,1956,111,19,25,6,1,0,7,1,1,25,15,0,5,2,1,41,0,70,160,35,10,0
NL,1957,187,21,47,10,2,1,10,0,3,17,28,0,5,0,2,60,0,70,160,36,11,0
NL,1958,96,14,27,4,4,0,4,2,0,6,15,0,3,0,2,62,0,70,160,37,12,0
NL,1959,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,70,160,38,13,0
AL,1977,24,2,6,1,0,2,2,0,0,0,5,0,0,0,0,15,0,74,200,25,0,0
AL,2013,140,10,27,5,1,2,13,0,0,9,43,0,1,0,4,43,0,73,205,26,0,0
AL,1969,14,1,3,0,0,0,1,0,0,1,3,0,0,0,1,8,0,75,185,26,0,0
NL,1975,90,10,27,2,1,4,15,1,0,11,25,0,0,1,1,61,0,73,180,28,0,0
NL,1976,74,2,18,4,0,0,3,1,0,1,12,0,0,0,4,69,0,73,180,29,1,0
AL,1977,269,32,91,17,0,6,49,0,2,18,30,3,0,3,5,95,0,73,180,30,2,0
AL,1978,310,27,80,18,1,7,35,0,1,17,32,0,2,0,10,116,0,73,180,31,3,0
AL,1979,326,34,98,13,1,8,50,2,2,25,27,0,1,6,3,119,0,73,180,32,4,0
AL,1980,262,32,75,11,2,6,38,2,4,15,26,1,6,4,11,99,0,73,180,33,5,0
AL,1981,220,13,46,10,0,2,24,0,1,20,26,4,0,2,10,72,0,73,180,34,6,0
AL,1982,66,2,17,4,0,1,11,0,0,4,5,0,0,3,3,30,0,73,180,35,7,0
NL,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,76,185,25,0,0
AL,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,76,185,26,1,0
